UNIPROT Cells.BxPC3_4. Cells.BxPC3_CD133. Cells.BxPC3_CD24.CD44. Cells.BxPC3_CD24.CD44..1 Cells.BxPC3_EpCAM. Cells.MIAPaCa2_4. Cells.MIAPaCa2_CD133. Cells.MIAPaCa2_CD24.CD44. Cells.MIAPaca2_CD24.CD44. Cells.PANC1_4. Cells.PANC1_CD133. Cells.PANC1_CD24.CD44. Cells.PANC1_CD24.CD44..1 Cells.PANC1_EpCAM. Exos.BxPC3_4. Exos.BxPC3_CD133. Exos.BxPC3_CD24.CD44. Exos.BxPC3_CD24.CD44..1 Exos.BxPC3_EpCAM. Exos.MIAPaCa2_4. Exos.MIAPaCa2_CD133. Exos.MIAPaCa2_CD24.CD44. Exos.MIAPaca2_CD24.CD44. Exos.PANC1_CD133. Exos.PANC1_CD24.CD44. Exos.PANC1_CD24.CD44..1 Exos.PANC1_EpCAM. Exos.PANC1.4. T3M4_20150328_01_Exo_CD24. T3M4_20150328_03_Exo_CD24. T3M4_20150328_05_Exo_CD133. T3M4_20150328_07_Exo_EpCam T3M4_20150328_09_Exo_Negative T3M4_20150330_01_Cells_CD24. T3M4_20150330_03_Cells_CD24. T3M4_20150330_05_Cells_CD133. T3M4_20150330_07_Cells_EpCam T3M4_20150330_09_Cells_Negative
A0A024R1R8 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
A0A024RBG1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
A0A075B6K4 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
A0A075B759 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1
A0A075B767 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1
A0A087X1L8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
A0A096LP55 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
A0A0B4J2A2 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1
A0A0B4J2D5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1
A0A0B4J2E5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
